,techs,locs,carriers,spores,total_carrier_con,case,names,colors,inheritance,lat_coords,lon_coords,carrier_in,carrier_out
146,bss_vanadium,NL,electricity,7,-12.042199844704959,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
147,bss_vanadium,NL,electricity,21,-888.8432974209123,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
148,bss_vanadium,NL,electricity,1,-2967.682185324472,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
149,bss_vanadium,NL,electricity,8,-1097.033375306153,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
150,bss_vanadium,NL,electricity,0,-2.6847542797329735,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
151,bss_vanadium,NL,electricity,28,-1106.4929764279009,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
152,bss_vanadium,NL,electricity,3,-1872.2220261247357,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
153,co2_atmosphere,NL,co2_emitted,32,-805.4810138409885,spores_eur_2050,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,co2_emitted,co2_emitted
154,co2_atmosphere,NL,co2_emitted,1,-4.74855823281132,spores_eur_2050,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,co2_emitted,co2_emitted
155,co2_atmosphere,NL,co2_emitted,14,-892.7847040999136,spores_eur_2050,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,co2_emitted,co2_emitted
156,co2_atmosphere,NL,co2_emitted,13,-251.2053566622999,spores_eur_2050,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,co2_emitted,co2_emitted
157,co2_atmosphere,NL,co2_emitted,11,-1923.584900140664,spores_eur_2050,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,co2_emitted,co2_emitted
158,co2_atmosphere,NL,co2_emitted,33,-333.0541100707087,spores_eur_2050,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,co2_emitted,co2_emitted
159,co2_atmosphere,NL,co2_emitted,15,-472.9383587386228,spores_eur_2050,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,co2_emitted,co2_emitted
